year,HYDE estimates 1750-1950,UN estimates 1950-2010,Medium Fertility,High Fertility,Low Fertility,Constant Fertility
2056,,,9806530.407,11492814.88,8304384.752,12017878.76
2057,,,9845614.72,11597174.52,8292676.781,12188054.79
2058,,,9883762.213,11701686.06,8279513.32,12363256.89
2059,,,9921012.28,11806426.28,8264932.499,12543752.8
2060,,,9957398.588,11911465.25,8248966.931,12729808.74
2061,,,9992942.091,12016836.62,8231647.776,12921684.99
2062,,,10027657.2,12122574.82,8212995.729,13119635.16
2063,,,10061562.4,12228753.71,8193018.051,13323914.8
2064,,,10094674.17,12335457.4,8171713.838,13534779.52
2065,,,10127006.92,12442757.13,8149085.243,13752494.37
2066,,,10158578.94,12550696.18,8125154.18,13977354.04
2067,,,10189401.6,12659303.54,8099939.024,14209652.3
2068,,,10219473.32,12768616.52,8073433.958,14449658.17
2069,,,10248786.57,12878667.76,8045626.311,14697637.94
2070,,,10277339.23,12989484.31,8016514.429,14953881.57
2071,,,10305145.55,13101094.32,7986121.51,15218723.34
2072,,,10332223.18,13213514.71,7954481.172,15492520.48
2073,,,10358578.32,13326744.52,7921617.931,15775624.21
2074,,,10384216.41,13440773.02,7887559.55,16068398.04
2075,,,10409149.04,13555592.96,7852341.832,16371224.73
2076,,,10433384.56,13671201.8,7815995.731,16684500.98
2077,,,10456948.83,13787607.38,7778572.833,17008650.45
2078,,,10479892.85,13904822.93,7740157.296,17344127.17
2079,,,10502280.11,14022865.4,7700849.715,17691407.9
2080,,,10524161.01,14141741.62,7660737.689,18050974.77
2081,,,10545552.88,14261439.98,7619872.394,18423303.76
2082,,,10566460.63,14381937.24,7578293.522,18808875.09
2083,,,10586904.85,14503211.1,7536062.415,19208190.33
2084,,,10606903.86,14625233.46,7493240.563,19621762.53
2085,,,10626467.42,14747971.6,7449880.509,20050115.62
2086,,,10645602.14,14871397.92,7406029.264,20493804.51
2087,,,10664297.92,14995473.06,7361717.138,20953378.84
2088,,,10682524.23,15120135.3,7316957.063,21429362.38
2089,,,10700237.85,15245312.11,7271750.447,21922276.98
2090,,,10717401.02,15370937.06,7226103.918,22432680.66
2091,,,10733987.34,15496955.72,7180035.034,22961180.74
2092,,,10749979.71,15623323.53,7133570.274,23508429.08
2093,,,10765365.33,15750001.16,7086740.34,24075111.52
2094,,,10780129.87,15876948.87,7039574.786,24661935.71
2095,,,10794252.26,16004121.57,6992097.007,25269619.47
2096,,,10807702.74,16131467.06,6944322.552,25898887.23
2097,,,10820441.93,16258924.95,6896258.138,26550467.54
2098,,,10832420.34,16386426.44,6847901.269,27225092.47
2099,,,10843578.83,16513894.5,6799240.624,27923498.22
2100,,,10853848.57,16641244.07,6750256.026,28646425.2
